"","area","datafile.013_108_2015_B.raw.area","datafile.016_148_84_A.raw.area","datafile.017_173_83_A.raw.area","datafile.039_341_81_MASS.raw.area","datafile.043_355_92_B.raw.area","datafile.044_359_92_C.raw.area","datafile.045_360_92_G.raw.area","datafile.046_363_92_C.raw.area","datafile.048_370_92_A.raw.area","datafile.063_449_87_C.raw.area","datafile.066_488_94_C.raw.area","datafile.070_538_78_A.raw.area","datafile.082_701_89_B.raw.area","datafile.086_772_94_B.raw.area","datafile.087_787_82_MASS.raw.area","datafile.088_791_82_A.raw.area","datafile.095_906_87_A.raw.area","datafile.099_939_73_B.raw.area","datafile.100_950_83_A.raw.area","datafile.102_975_83_B.raw.area","datafile.103_978_83_A.raw.area","datafile.104_1040_90_C.raw.area","datafile.110_1449_77_A.raw.area","datafile.111_1453_77_MASS.raw.area","datafile.127_7178_C.raw.area","mz_round","rt_round"
"425",4167000,3505000,3663000,3696000,3797000,4060000,776100,3911000,3356000,3601000,3576000,4167000,3968000,2536000,3606000,3665000,3656000,3571000,2620000,3859000,3755000,3062000,3905000,3295000,3394000,3882000,150.128,49.89
"426",2.5e+07,6425000,5961000,6189000,4189000,6575000,6565000,2.5e+07,4271000,6298000,5883000,5957000,6065000,3627000,4972000,6439000,5909000,5774000,5491000,6419000,6280000,6181000,5979000,5752000,6098000,5718000,150.128,53.29
"427",24840000,6973000,6128000,6725000,4797000,7335000,6910000,6509000,4626000,6793000,6289000,6204000,24840000,4191000,5086000,7217000,6450000,6328000,6595000,6877000,6599000,7027000,6491000,6704000,6551000,6209000,150.128,53.78
"428",26990000,6952000,6195000,6766000,4847000,6974000,26990000,6294000,4607000,6969000,6351000,6289000,6275000,4254000,5119000,7179000,6197000,6276000,6732000,6923000,6638000,6859000,6279000,6329000,6798000,6181000,150.128,54.22
"429",6245000,6033000,5529000,6039000,3953000,6069000,6104000,5459000,4117000,6191000,5499000,5427000,1066000,3869000,4451000,6228000,5761000,5417000,6006000,6245000,5771000,6150000,5625000,5508000,5978000,5381000,150.128,54.8
"430",5076000,4586000,4460000,4894000,3156000,4932000,2881000,1513000,3312000,4996000,4438000,4394000,1336000,3117000,3602000,5076000,4432000,4355000,4829000,5066000,1900000,4653000,4596000,4285000,4810000,4321000,150.128,54.86
"431",5497000,12020,37310,16420,29430,9757,21220,8726,25110,4490000,16560,10450,12380,5497000,40790,25430,13720,12370,3221000,15090,8484,3174000,10180,4584000,14430,8209,151.035,1.32
"432",7189000,4456000,5971000,4845000,7189000,3815000,5357000,4342000,4858000,4486000,4238000,4702000,5360000,20370,4051000,4368000,5546000,5313000,3204000,4448000,4106000,3169000,4179000,4534000,5171000,3084000,151.035,1.43
"433",12760000,NA,208900,3200,NA,289700,59700,44340,318000,7178,24940,3641,42140,NA,167000,12760000,79580,165800,186900,55180,2727,5005,89370,160800,2242,300400,152.071,1.69
"434",1789000,406600,124400,418100,97370,177100,393400,438000,168700,884400,724900,215200,431700,386300,79810,107000,1717000,781000,194500,818600,79430,1034000,225500,131300,149600,1789000,153.128,16.88
"435",2605000,257900,67550,33330,134500,5313,120900,95210,14750,345500,317600,102100,80240,1506000,36050,10710,415500,118500,367500,424700,8640,359800,94280,20460,80640,2605000,153.128,17.28
"436",5025000,2720000,245600,253600,116400,196100,196800,205100,167800,2622000,1947000,373100,223300,251400,132800,518700,2587000,599200,332600,2079000,340000,1560000,328300,130000,307600,5025000,153.128,18.47
"437",10270000,1926000,313100,152500,214200,163800,206400,157500,159800,1815000,1155000,263500,179900,475800,168500,525200,2409000,356100,239700,3314000,138800,1020000,287100,129100,347200,10270000,153.128,18.57
"438",25200000,54920,887700,985100,731500,3663000,1170000,1957000,3822000,1281000,1110000,1029000,2522000,375700,2059000,25200000,1871000,3715000,4670000,2757000,1167000,3489000,4549000,3155000,764000,4936000,154.086,1.65
"439",15020000,54920,1057000,1129000,838800,1638000,574700,777900,3738000,668500,427900,1172000,2336000,516000,2372000,15020000,813000,1362000,4300000,3065000,1171000,4173000,5191000,1142000,864500,5534000,154.086,1.71
"440",5099000,3843,48560,46120,8686,29100,93490,31290,27960,75950,53330,437400,14910,16490,7076,NA,57430,30910,4239,64190,5099000,1521,76550,20000,15330,29100,155.034,14.28
"441",7057000,991,134100,169000,160100,131600,321000,93640,1253000,423000,189800,1455000,52970,96050,6067,20850,239500,125800,9108,243100,7057000,54730,549400,40160,168700,82540,155.034,15.31
"442",14420000,991,138900,164800,170100,140100,316800,97630,2050000,397600,193500,1514000,51560,288200,11230,20850,287600,136600,9242,242900,14420000,62810,565000,67780,259800,87220,155.034,15.34
"443",3152000,5089,120700,138500,188300,122800,259500,80150,2541000,290500,165700,1282000,46640,461300,11230,20850,268400,122900,1430,203800,3152000,56670,482900,58800,297400,69220,155.034,15.38
