formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
10	C18H19F6NO4	[M + CH2O2 - H]-	C19H20F6NO6-		0.000	20.041	15.478	4.563	3	0.380	3.470	3.470	4.935		472.122	1042	17.374	852609732037203735	852601201141085345	852601201141085344	333	
1	C18H34N6O11	[M - H]-	C18H33N6O11-		0.249	82.955	76.312	6.642	22	0.905	1.026	2.083	2.083		509.222	1043	17.381	852609726186148914	852601201480824009	852601201480824008	341	
2	C18H32N6O10	[M + H2O - H]-	C18H33N6O11-		0.249	82.955	76.312	6.642	19	0.847	1.032	2.182	2.083		509.222	1043	17.381	852609726186148915	852601201480824009	852601201480824008	341	
3	C17H32N6O9	[M + CH2O2 - H]-	C18H33N6O11-		0.249	82.955	76.312	6.642	21	0.578	1.020	2.182	2.083		509.222	1043	17.381	852609726186148916	852601201480824009	852601201480824008	341	
4	C16H30N6O9	[M + C2H4O2 - H]-	C18H33N6O11-		0.249	82.955	76.312	6.642	15	0.648	-0.013	1.032	2.083		509.222	1043	17.381	852609726186148917	852601201480824009	852601201480824008	341	
5	C27H31FN4O5	[M - H]-	C27H30FN4O5-		0.001	77.426	70.551	6.875	21	0.908	1.020	2.215	3.472		509.222	1043	17.381	852609726186148918	852601201480824009	852601201480824008	341	
6	C27H29FN4O4	[M + H2O - H]-	C27H30FN4O5-		0.001	77.426	70.551	6.875	19	0.853	1.375	2.325	3.472		509.222	1043	17.381	852609726186148919	852601201480824009	852601201480824008	341	
7	C26H29FN4O3	[M + CH2O2 - H]-	C27H30FN4O5-		0.001	77.426	70.551	6.875	14	0.491	-0.414	1.198	3.472		509.222	1043	17.381	852609726186148920	852601201480824009	852601201480824008	341	
8	C25H27FN4O3	[M + C2H4O2 - H]-	C27H30FN4O5-		0.001	77.426	70.551	6.875	13	0.671	-0.639	1.020	3.472		509.222	1043	17.381	852609726186148921	852601201480824009	852601201480824008	341	
9	C20H39N4O7PS	[M - H]-	C20H38N4O7PS-		0.000	71.086	66.991	4.095	20	0.898	0.763	2.083	3.749		509.222	1043	17.381	852609726186148922	852601201480824009	852601201480824008	341	
10	C20H37N4O6PS	[M + H2O - H]-	C20H38N4O7PS-		0.000	71.086	66.991	4.095	18	0.843	1.198	2.254	3.749		509.222	1043	17.381	852609726186148923	852601201480824009	852601201480824008	341	
1	C10H16O	[M + H]+	C10H17O+		1.000	143.162	139.856	3.306	27	0.935	-6.367	6.367	1.100		153.128	1043	17.387	852609699971746808	852601249962790595	852601249962790594	1671	
2	C8H14N3	[M + H]+	C8H15N3+		0.000	89.373	88.082	1.291	23	0.856	-6.258	6.909	9.868		153.128	1043	17.387	852609699971746809	852601249962790595	852601249962790594	1671	
1	C21H40N6O12	[M - H]-	C21H39N6O12-		0.416	40.620	35.074	5.546	19	0.943	0.889	1.068	0.609		567.263	1043	17.389	852609703595625874	852601201266914480	852601201266914479	336	
2	C20H38N6O10	[M + CH2O2 - H]-	C21H39N6O12-		0.416	40.620	35.074	5.546	18	0.335	0.893	1.571	0.609		567.263	1043	17.389	852609703595625875	852601201266914480	852601201266914479	336	
3	C22H36N10O8	[M - H]-	C22H35N10O8-		0.058	38.648	32.762	5.886	19	0.943	0.889	2.075	-1.748		567.263	1043	17.389	852609703595625876	852601201266914480	852601201266914479	336	
4	C21H34N10O6	[M + CH2O2 - H]-	C22H35N10O8-		0.058	38.648	32.762	5.886	18	0.335	0.893	1.571	-1.748		567.263	1043	17.389	852609703595625877	852601201266914480	852601201266914479	336	
5	C24H39F3N4O8	[M - H]-	C24H38F3N4O8-		0.017	37.404	31.041	6.363	18	0.886	0.893	2.303	-2.173		567.263	1043	17.389	852609703595625878	852601201266914480	852601201266914479	336	
6	C23H37F3N4O6	[M + CH2O2 - H]-	C24H38F3N4O8-		0.017	37.404	31.041	6.363	17	0.278	0.898	2.075	-2.173		567.263	1043	17.389	852609703595625879	852601201266914480	852601201266914479	336	
7	C27H38F2N4O7	[M - H]-	C27H37F2N4O7-		0.006	36.364	31.245	5.119	15	0.863	2.531	2.531	-0.158		567.263	1043	17.389	852609703595625880	852601201266914480	852601201266914479	336	
8	C26H36F2N4O5	[M + CH2O2 - H]-	C27H37F2N4O7-		0.006	36.364	31.245	5.119	14	0.254	2.795	2.795	-0.158		567.263	1043	17.389	852609703595625881	852601201266914480	852601201266914479	336	
9	C18H41FN6O13	[M - H]-	C18H40FN6O13-		0.003	35.830	31.089	4.741	19	0.943	0.889	2.262	-1.405		567.263	1043	17.389	852609703595625882	852601201266914480	852601201266914479	336	
10	C17H39FN6O11	[M + CH2O2 - H]-	C18H40FN6O13-		0.003	35.830	31.089	4.741	18	0.335	0.893	2.303	-1.405		567.263	1043	17.389	852609703595625883	852601201266914480	852601201266914479	336	
1	C27H30O15	[M + H]+	C27H31O15+		0.999	21.814	18.071	3.743	4	0.993	0.568	0.916	1.098		595.166	1043	17.389	852609746100706347	852601249614663313	852601249614663312	1661	
2	C28H26N4O11	[M + H]+	C28H27N4O11+		0.000	14.197	10.588	3.609	4	0.993	-1.331	1.331	-1.149		595.166	1043	17.389	852609746100706348	852601249614663313	852601249614663312	1661	
3	C26H28N4O11	[M + Na]+	C26H28N4NaO11+		0.000	13.702	10.389	3.313	2	0.972	2.947	2.947	2.893		595.166	1043	17.389	852609746100706349	852601249614663313	852601249614663312	1661	
4	C23H32N4O12	[M + K]+	C23H32KN4O12+		0.000	13.459	13.459	0.000	4	0.993	2.456	2.456	2.637		595.166	1043	17.389	852609746100706350	852601249614663313	852601249614663312	1661	
5	C27H24N8O7	[M + Na]+	C27H24N8NaO7+		0.000	11.680	8.156	3.523	2	0.972	2.947	2.947	0.646		595.166	1043	17.389	852609746100706351	852601249614663313	852601249614663312	1661	
6	C31H28N2O9	[M + Na]+	C31H28N2NaO9+		0.000	10.588	8.092	2.496	2	0.972	-0.076	0.076	-3.866		595.166	1043	17.389	852609746100706352	852601249614663313	852601249614663312	1661	
7	C28H34O10S2	[M + H]+	C28H35O10S2+		0.000	10.364	10.364	0.000	4	0.993	-1.367	1.367	-0.362		595.166	1043	17.389	852609746100706353	852601249614663313	852601249614663312	1661	
8	C20H30F2N4O13	[M + Na]+	C20H30F2N4NaO13+		0.000	10.193	9.030	1.163	2	0.972	-2.143	2.143	-0.948		595.166	1043	17.389	852609746100706354	852601249614663313	852601249614663312	1661	
9	C27H21F3N8O5	[M + H]+	C27H22F3N8O5+		0.000	10.054	6.530	3.524	5	1.000	0.157	2.039	0.711		595.166	1043	17.389	852609746100706355	852601249614663313	852601249614663312	1661	
10	C20H33FN4O13	[M + K]+	C20H33FKN4O13+		0.000	9.321	9.321	0.000	4	0.993	0.063	0.535	0.717		595.166	1043	17.389	852609746100706356	852601249614663313	852601249614663312	1661	
1	C45H91NO4	[M - H]-	C45H90NO4-		0.500	18.118	18.118	0.000	5	0.557	-5.503	5.503	1.250		708.688	1044	17.393	852609690274514776	852601201178834086	852601201178834085	334	
2	C44H89NO2	[M + CH2O2 - H]-	C45H90NO4-		0.500	18.118	18.118	0.000	5	0.557	-5.503	5.503	1.250		708.688	1044	17.393	852609690274514777	852601201178834086	852601201178834085	334	
1	C24H40O11	[M + H]+	C24H41O11+		0.990	87.606	81.050	6.557	25	0.990	-6.818	6.818	0.577		505.265	1044	17.396	852609722486772565	852601249589497484	852601249589497483	1660	
2	C25H36N4O7	[M + H]+	C25H37N4O7+		0.010	83.026	76.609	6.417	25	0.990	-6.818	6.818	-2.070		505.265	1044	17.396	852609722486772566	852601249589497484	852601249589497483	1660	
3	C26H32N8O3	[M + H]+	C26H33N8O3+		0.000	75.134	70.105	5.029	24	0.975	-6.868	6.868	-4.717		505.265	1044	17.396	852609722486772567	852601249589497484	852601249589497483	1660	
4	C23H38N4O7	[M + Na]+	C23H38N4NaO7+		0.000	73.436	67.664	5.772	25	0.990	-6.818	6.818	2.691		505.265	1044	17.396	852609722486772568	852601249589497484	852601249589497483	1660	
5	C27H38NO8	[M + H]+	C27H39NO8+		0.000	70.906	65.276	5.630	25	0.990	-6.818	6.818	-4.727		505.265	1044	17.396	852609722486772569	852601249589497484	852601249589497483	1660	
6	C21H38N8O4	[M + K]+	C21H38KN8O4+		0.000	70.847	68.883	1.964	25	0.990	-6.818	6.818	-0.257		505.265	1044	17.396	852609722486772570	852601249589497484	852601249589497483	1660	
7	C24H34N8O3	[M + Na]+	C24H34N8NaO3+		0.000	69.913	63.945	5.969	23	0.937	-6.918	6.918	0.044		505.265	1044	17.396	852609722486772571	852601249589497484	852601249589497483	1660	
8	C26H37F3N2O3	[M + Na]+	C26H37F3N2NaO3+		0.000	68.790	62.379	6.410	23	0.937	-6.918	6.918	-0.432		505.265	1044	17.396	852609722486772572	852601249589497484	852601249589497483	1660	
9	C21H32N10O5	[M + H]+	C21H33N10O5+		0.000	53.694	48.686	5.008	23	0.981	-6.798	6.798	3.245		505.265	1044	17.396	852609722486772573	852601249589497484	852601249589497483	1660	
10	C22H37FN4O8	[M + H]+	C22H38FN4O8+		0.000	53.462	47.764	5.698	23	0.981	-6.798	6.798	-4.332		505.265	1044	17.396	852609722486772574	852601249589497484	852601249589497483	1660	
1	C18H24O4	[M + Na]+	C18H24NaO4+		0.923	149.853	148.284	1.568	36	0.955	-5.178	5.194	9.567		327.160	1045	17.419	852609704417709577	852601249321061983	852601249316867678	1651	
2	C20H22O4	[M + H]+	C20H23O4+		0.077	147.368	143.764	3.604	37	0.977	-5.122	5.122	2.214		327.160	1045	17.419	852609704417709578	852601249321061983	852601249316867678	1651	
3	C17H23FO5	[M + H]+	C17H24FO5+		0.000	141.974	138.975	2.999	38	0.980	-5.626	5.626	-1.279		327.160	1045	17.419	852609704417709579	852601249321061983	852601249316867678	1651	
4	C15H28O4S	[M + Na]+	C15H28NaO4S+		0.000	130.724	128.397	2.327	38	0.980	-5.626	5.626	-0.737		327.160	1045	17.419	852609704417709580	852601249321061983	852601249316867678	1651	
5	C18H20N3O3	[M + H]+	C18H21N3O3+		0.000	127.596	125.255	2.341	36	0.955	-5.178	5.194	6.318		327.160	1045	17.419	852609704417709581	852601249321061983	852601249316867678	1651	
6	C15H23ClN4O2	[M + H]+	C15H24ClN4O2+		0.000	125.593	125.593	0.000	37	0.977	-5.257	5.257	4.829		327.160	1045	17.419	852609704417709582	852601249321061983	852601249316867678	1651	
7	C14H24F2O6	[M + H]+	C14H25F2O6+		0.000	124.343	124.171	0.172	35	0.962	-5.739	5.739	-4.773		327.160	1045	17.419	852609704417709583	852601249321061983	852601249316867678	1651	
8	C18H26NO2	[M + K]+	C18H26KNO2+		0.000	122.673	122.673	0.000	37	0.977	-5.122	5.122	0.910		327.160	1045	17.419	852609704417709584	852601249321061983	852601249316867678	1651	
9	C17H26O4S	[M + H]+	C17H27O4S+		0.000	120.827	119.096	1.731	31	0.927	-5.739	5.739	-8.090		327.160	1045	17.419	852609704417709585	852601249321061983	852601249316867678	1651	
10	C15H24N3O3S	[M + H]+	C15H25N3O3S+		0.000	119.152	116.981	2.171	31	0.927	-5.467	5.467	-3.986		327.160	1045	17.419	852609704417709586	852601249321061983	852601249316867678	1651	
1	C19H22O5	[M + H]+	C19H23O5+		1.000	247.370	241.257	6.113	59	1.000	-4.080	4.080	2.083		331.155	1045	17.424	852609717675905673	852601249883098809	852601249883098808	1669	
2	C17H24O5	[M + Na]+	C17H24NaO5+		0.000	220.651	217.035	3.616	57	0.980	-4.080	4.136	9.347		331.155	1045	17.424	852609717675905674	852601249883098809	852601249883098808	1669	
3	C16H23FO6	[M + H]+	C16H24FO6+		0.000	215.676	210.464	5.212	56	0.979	-4.838	4.838	-1.368		331.155	1045	17.424	852609717675905675	852601249883098809	852601249883098808	1669	
4	C17H20N3O4	[M + H]+	C17H21N3O4+		0.000	214.412	209.957	4.455	59	1.000	-3.572	3.845	6.137		331.155	1045	17.424	852609717675905676	852601249883098809	852601249883098808	1669	
5	C20H22NO2	[M + Na]+	C20H22NNaO2+		0.000	205.703	199.658	6.045	57	0.987	-4.122	4.122	1.254		331.155	1045	17.424	852609717675905677	852601249883098809	852601249883098808	1669	
6	C15H21FN4O2	[M + Na]+	C15H21FN4NaO2+		0.000	192.104	187.643	4.462	56	0.981	-3.843	3.843	1.858		331.155	1045	17.424	852609717675905678	852601249883098809	852601249883098808	1669	
7	C15H18N6O3	[M + H]+	C15H19N6O3+		0.000	188.176	186.073	2.104	59	1.000	-3.343	3.880	10.192		331.155	1045	17.424	852609717675905679	852601249883098809	852601249883098808	1669	
8	C12H22N6O3S	[M + H]+	C12H23N6O3S+		0.000	186.710	185.343	1.367	53	0.970	-5.083	5.083	0.012		331.155	1045	17.424	852609717675905680	852601249883098809	852601249883098808	1669	
9	C17H23FNO3	[M + Na]+	C17H23FNNaO3+		0.000	185.240	179.783	5.457	52	0.880	-4.178	4.178	-2.197		331.155	1045	17.424	852609717675905681	852601249883098809	852601249883098808	1669	
10	C16H26O5S	[M + H]+	C16H27O5S+		0.000	182.696	181.031	1.665	51	0.863	-4.470	4.470	-8.097		331.155	1045	17.424	852609717675905682	852601249883098809	852601249883098808	1669	
1	C21H20O12	[M + H]+	C21H21O12+		0.998	37.604	29.176	8.428	9	0.984	-2.133	2.133	1.887		465.104	1046	17.426	852609729138939179	852601249438502515	852601249438502514	1655	
2	C22H16N4O8	[M + H]+	C22H17N4O8+		0.002	31.429	23.032	8.398	9	0.984	-2.133	2.133	-0.989		465.104	1046	17.426	852609729138939180	852601249438502515	852601249438502514	1655	
3	C20H18N4O8	[M + Na]+	C20H18N4NaO8+		0.000	27.163	19.938	7.225	9	0.984	-2.133	2.133	4.184		465.104	1046	17.426	852609729138939181	852601249438502515	852601249438502514	1655	
4	C19H24NO10	[M + K]+	C19H24KNO10+		0.000	23.549	20.963	2.586	9	0.984	-4.718	4.718	0.970		465.104	1046	17.426	852609729138939182	852601249438502515	852601249438502514	1655	
5	C22H22N2O7	[M + K]+	C22H22KN2O7+		0.000	23.275	20.725	2.550	9	0.984	-2.133	2.133	-4.793		465.104	1046	17.426	852609729138939183	852601249438502515	852601249438502514	1655	
6	C23H17F3N2O4	[M + Na]+	C23H17F3N2NaO4+		0.000	22.922	14.922	8.000	11	1.000	-2.699	2.699	0.790		465.104	1046	17.426	852609729138939184	852601249438502515	852601249438502514	1655	
7	C15H21N4O11P	[M + H]+	C15H22N4O11P+		0.000	22.675	18.350	4.325	9	0.984	-2.133	2.133	4.105		465.104	1046	17.426	852609729138939185	852601249438502515	852601249438502514	1655	
8	C18H15FN8O5	[M + Na]+	C18H15FN8NaO5+		0.000	22.136	14.935	7.201	9	0.984	-2.585	2.585	-1.149		465.104	1046	17.426	852609729138939186	852601249438502515	852601249438502514	1655	
9	C20H21F3N2O5	[M + K]+	C20H21F3KN2O5+		0.000	22.065	18.355	3.710	9	0.984	-4.718	4.718	0.463		465.104	1046	17.426	852609729138939187	852601249438502515	852601249438502514	1655	
10	C17H19FN4O9	[M + Na]+	C17H19FN4NaO9+		0.000	20.005	13.580	6.425	10	0.990	-2.416	2.416	1.726		465.104	1046	17.426	852609729138939188	852601249438502515	852601249438502514	1655	
1	C23H32N6O11	[M - H]-	C23H31N6O11-		0.400	39.586	34.321	5.265	14	0.944	-2.200	2.200	1.764		567.207	1046	17.429	852609701641079959	852601201304663221	852601201304663220	337	
2	C22H30N6O9	[M + CH2O2 - H]-	C23H31N6O11-		0.400	39.586	34.321	5.265	13	0.926	-2.096	2.096	1.764		567.207	1046	17.429	852609701641079960	852601201304663221	852601201304663220	337	
3	C25H35F3O11	[M - H]-	C25H34F3O11-		0.047	37.456	31.729	5.727	14	0.944	2.803	3.155	1.340		567.207	1046	17.429	852609701641079961	852601201304663221	852601201304663220	337	
4	C24H33F3O9	[M + CH2O2 - H]-	C25H34F3O11-		0.047	37.456	31.729	5.727	13	0.926	3.123	3.123	1.340		567.207	1046	17.429	852609701641079962	852601201304663221	852601201304663220	337	
5	C24H28N10O7	[M - H]-	C24H27N10O7-		0.039	37.249	31.440	5.809	14	0.944	-2.200	2.200	-0.594		567.207	1046	17.429	852609701641079963	852601201304663221	852601201304663220	337	
6	C23H26N10O5	[M + CH2O2 - H]-	C24H27N10O7-		0.039	37.249	31.440	5.809	13	0.926	-2.096	2.096	-0.594		567.207	1046	17.429	852609701641079964	852601201304663221	852601201304663220	337	
7	C20H33FN6O12	[M - H]-	C20H32FN6O12-		0.007	35.529	31.729	3.800	14	0.944	-2.152	2.152	-0.251		567.207	1046	17.429	852609701641079965	852601201304663221	852601201304663220	337	
8	C19H31FN6O10	[M + CH2O2 - H]-	C20H32FN6O12-		0.007	35.529	31.729	3.800	7	0.815	-4.482	4.482	-0.251		567.207	1046	17.429	852609701641079966	852601201304663221	852601201304663220	337	
9	C26H31F3N4O7	[M - H]-	C26H30F3N4O7-		0.004	35.085	28.984	6.101	14	0.944	2.803	3.356	-1.018		567.207	1046	17.429	852609701641079967	852601201304663221	852601201304663220	337	
10	C25H29F3N4O5	[M + CH2O2 - H]-	C26H30F3N4O7-		0.004	35.085	28.984	6.101	13	0.926	3.123	3.123	-1.018		567.207	1046	17.429	852609701641079968	852601201304663221	852601201304663220	337	
1	C20H19NO5	[M + H]+	C20H20NO5+		0.996	124.487	118.433	6.054	37	0.947	-4.282	4.282	1.443		354.134	1046	17.433	852609751884652334	852601249748881061	852601249748881060	1665	
2	C18H21NO5	[M + Na]+	C18H21NNaO5+		0.004	118.977	115.518	3.458	35	0.938	4.399	4.399	8.236		354.134	1046	17.433	852609751884652335	852601249748881061	852601249748881060	1665	
3	C17H21O8	[M + H]+	C17H22O8+		0.000	108.210	105.544	2.666	12	0.133	3.387	3.742	9.010		354.134	1046	17.433	852609751884652336	852601249748881061	852601249748881060	1665	
4	C16H18FN5O2	[M + Na]+	C16H18FN5NaO2+		0.000	88.092	84.046	4.046	37	0.940	0.196	3.889	1.232		354.134	1046	17.433	852609751884652337	852601249748881061	852601249748881060	1665	
5	C18H17N4O4	[M + H]+	C18H18N4O4+		0.000	78.687	74.278	4.409	34	0.929	0.866	1.098	5.234		354.134	1046	17.433	852609751884652338	852601249748881061	852601249748881060	1665	
6	C16H15N7O3	[M + H]+	C16H16N7O3+		0.000	77.341	75.250	2.091	33	0.806	0.873	1.269	9.025		354.134	1046	17.433	852609751884652339	852601249748881061	852601249748881060	1665	
7	C21H19N2O2	[M + Na]+	C21H19N2NaO2+		0.000	60.908	54.779	6.129	26	0.537	-2.006	3.649	0.668		354.134	1046	17.433	852609751884652340	852601249748881061	852601249748881060	1665	
8	C16H22N2O5P	[M + H]+	C16H23N2O5P+		0.000	58.820	54.678	4.142	27	0.698	-3.479	3.943	0.565		354.134	1046	17.433	852609751884652341	852601249748881061	852601249748881060	1665	
9	C14H20N5O4P	[M + H]+	C14H21N5O4P+		0.000	58.063	56.347	1.716	31	0.914	-0.423	0.791	4.357		354.134	1046	17.433	852609751884652342	852601249748881061	852601249748881060	1665	
10	C19H17N5O	[M + Na]+	C19H17N5NaO+		0.000	44.796	40.010	4.786	32	0.629	0.021	1.769	4.459		354.134	1046	17.433	852609751884652343	852601249748881061	852601249748881060	1665	
1	C21H32ClN4O15P	[M - H]-	C21H31ClN4O15P-		0.378	32.651	24.052	8.598	10	0.979	-0.945	0.945	-1.665		645.121	1046	17.441	852609729113773329	852601201438880964	852601201434686659	340	
2	C20H30ClN4O13P	[M + CH2O2 - H]-	C21H31ClN4O15P-		0.378	32.651	24.052	8.598	9	0.962	-0.795	0.795	-1.665		645.121	1046	17.441	852609729113773330	852601201438880964	852601201434686659	340	
3	C23H27ClN6O14	[M - H]-	C23H26ClN6O14-		0.059	30.800	21.654	9.146	10	0.979	-0.941	1.452	0.898		645.121	1046	17.441	852609729113773331	852601201438880964	852601201434686659	340	
4	C22H25ClN6O12	[M + CH2O2 - H]-	C23H26ClN6O14-		0.059	30.800	21.654	9.146	9	0.962	-0.786	1.095	0.898		645.121	1046	17.441	852609729113773332	852601201438880964	852601201434686659	340	
5	C24H25ClF6N4O8	[M - H]-	C24H24ClF6N4O8-		0.024	29.909	20.608	9.301	10	0.979	0.626	1.505	2.241		645.121	1046	17.441	852609729113773333	852601201438880964	852601201434686659	340	
6	C23H23ClF6N4O6	[M + CH2O2 - H]-	C24H24ClF6N4O8-		0.024	29.909	20.608	9.301	9	0.962	0.861	1.626	2.241		645.121	1046	17.441	852609729113773334	852601201438880964	852601201434686659	340	
7	C26H26ClF3N4O10	[M - H]-	C26H25ClF3N4O10-		0.013	29.294	19.934	9.360	10	0.979	-0.941	0.941	-1.548		645.121	1046	17.441	852609729113773335	852601201438880964	852601201434686659	340	
8	C25H24ClF3N4O8	[M + CH2O2 - H]-	C26H25ClF3N4O10-		0.013	29.294	19.934	9.360	9	0.962	-0.786	0.786	-1.548		645.121	1046	17.441	852609729113773336	852601201438880964	852601201434686659	340	
9	C25H30ClF3O14	[M - H]-	C25H29ClF3O14-		0.006	28.568	19.042	9.526	9	0.944	3.031	4.201	0.525		645.121	1046	17.441	852609729113773337	852601201438880964	852601201434686659	340	
10	C24H28ClF3O12	[M + CH2O2 - H]-	C25H29ClF3O14-		0.006	28.568	19.042	9.526	8	0.928	2.451	3.760	0.525		645.121	1046	17.441	852609729113773338	852601201438880964	852601201434686659	340	
1	C7H14OS	[M + H]+	C7H15OS+		1.000	40.027	40.027	0.000	8	0.302	-5.985	5.985	-5.932		147.083	1046	17.442	852609692547827765	852601249996345032	852601249992150727	1672	
2	C6H14O2Si	[M + H]+	C6H15O2Si+		0.000	27.890	27.890	0.000	6	0.070	-5.803	5.803	-4.369		147.083	1046	17.442	852609692547827766	852601249996345032	852601249992150727	1672	
3	C5H12N3S	[M + H]+	C5H13N3S+		0.000	-2.878	-2.878	0.000	3	0.038	8.477	8.477	3.197		147.083	1046	17.442	852609692547827767	852601249996345032	852601249992150727	1672	
4	H10N7O	[M + Na]+	H10N7NaO+		0.000	-4.261	-4.261	0.000	0	0.000			-6.552		147.083	1046	17.442	852609692547827768	852601249996345032	852601249992150727	1672	
1	C27H30N2O9	[M + H]+	C27H31N2O9+		0.967	95.314	91.733	3.580	41	0.987	-0.066	1.547	2.339		527.204	1047	17.444	852609880339419836	852601249925041854	852601249925041853	1670	
2	C28H26N6O5	[M + H]+	C28H27N6O5+		0.033	91.926	88.360	3.566	42	0.952	-0.452	1.287	-0.198		527.204	1047	17.444	852609880339419837	852601249925041854	852601249925041853	1670	
3	C23H32N6O6	[M + K]+	C23H32KN6O6+		0.000	82.627	82.627	0.000	40	0.948	-0.069	1.551	4.077		527.204	1047	17.444	852609880339419838	852601249925041854	852601249925041853	1670	
4	C28H30N3O6	[M + Na]+	C28H30N3NaO6+		0.000	78.973	75.362	3.611	40	0.979	-0.069	1.441	1.818		527.204	1047	17.444	852609880339419839	852601249925041854	852601249925041853	1670	
5	C20H30N8O7S	[M + H]+	C20H31N8O7S+		0.000	78.124	78.124	0.000	39	0.977	-0.144	1.237	1.038		527.204	1047	17.444	852609880339419840	852601249925041854	852601249925041853	1670	
6	C23H32N6O5S	[M + Na]+	C23H32N6NaO5S+		0.000	73.800	73.800	0.000	39	0.977	-0.908	1.450	-2.029		527.204	1047	17.444	852609880339419841	852601249925041854	852601249925041853	1670	
7	C31H28N4O3	[M + Na]+	C31H28N4NaO3+		0.000	71.490	69.220	2.270	37	0.934	-1.041	1.718	-3.265		527.204	1047	17.444	852609880339419842	852601249925041854	852601249925041853	1670	
8	C28H32N4O4	[M + K]+	C28H32KN4O4+		0.000	70.607	70.607	0.000	36	0.951	-0.999	1.543	-3.554		527.204	1047	17.444	852609880339419843	852601249925041854	852601249925041853	1670	
9	C26H31F3N4O2	[M + K]+	C26H31F3KN4O2+		0.000	65.077	65.077	0.000	35	0.962	-0.260	1.436	1.083		527.204	1047	17.444	852609880339419844	852601249925041854	852601249925041853	1670	
10	C24H31FN2O10	[M + H]+	C24H32FN2O10+		0.000	53.312	50.110	3.203	32	0.932	-0.817	1.287	0.171		527.204	1047	17.444	852609880339419845	852601249925041854	852601249925041853	1670	
1	C15H10O7	[M + H]+	C15H11O7+		1.000	120.580	114.674	5.906	38	0.913	-3.592	3.592	1.950		303.051	1047	17.456	852609711413809383	852601250025705165	852601250025705164	1673	
2	C13H12O7	[M + Na]+	C13H12NaO7+		0.000	103.073	99.966	3.107	35	0.815	-3.886	3.973	9.888		303.051	1047	17.456	852609711413809384	852601250025705165	852601250025705164	1673	
3	C16H10NO4	[M + Na]+	C16H10NNaO4+		0.000	91.672	85.640	6.033	39	0.899	-3.886	3.886	1.044		303.051	1047	17.456	852609711413809385	852601250025705165	852601250025705164	1673	
4	C14H8N4O3	[M + Na]+	C14H8N4NaO3+		0.000	80.980	76.405	4.576	34	0.886	-3.180	3.917	5.475		303.051	1047	17.456	852609711413809386	852601250025705165	852601250025705164	1673	
5	C12H11FO8	[M + H]+	C12H12FO8+		0.000	73.665	69.336	4.329	35	0.705	-3.973	3.973	-1.821		303.051	1047	17.456	852609711413809387	852601250025705165	852601250025705164	1673	
6	C18H8NO4	[M + H]+	C18H9NO4+		0.000	66.792	62.563	4.229	29	0.745	-4.050	4.050	-6.894		303.051	1047	17.456	852609711413809388	852601250025705165	852601250025705164	1673	
7	C9H11N4O6P	[M + H]+	C9H12N4O6P+		0.000	66.663	65.588	1.075	33	0.877	-1.995	3.201	5.355		303.051	1047	17.456	852609711413809389	852601250025705165	852601250025705164	1673	
8	C13H8F4NO3	[M + H]+	C13H9F4NO3+		0.000	66.447	61.786	4.661	33	0.788	-1.719	3.815	-2.598		303.051	1047	17.456	852609711413809390	852601250025705165	852601250025705164	1673	
9	C12H12F2O5Si	[M + H]+	C12H13F2O5Si+		0.000	63.531	61.012	2.518	34	0.865	-3.592	3.592	3.422		303.051	1047	17.456	852609711413809391	852601250025705165	852601250025705164	1673	
10	C13H8N3O6	[M + H]+	C13H9N3O6+		0.000	62.276	58.130	4.145	34	0.879	4.738	4.738	6.380		303.051	1047	17.456	852609711413809392	852601250025705165	852601250025705164	1673	
1	C20H21NO5	[M + H]+	C20H22NO5+		1.000	37.123	33.904	3.219	17	0.986	-3.410	3.410	2.108		356.150	1048	17.463	852609741298227856	852601249849544372	852601249849544371	1668	
2	C15H22ClN5O3	[M + H]+	C15H23ClN5O3+		0.000	28.270	28.270	0.000	14	0.963	-2.250	3.374	4.510		356.150	1048	17.463	852609741298227857	852601249849544372	852601249849544371	1668	
3	C18H19N4O4	[M + H]+	C18H20N4O4+		0.000	27.211	25.453	1.759	17	0.986	4.158	4.158	5.878		356.150	1048	17.463	852609741298227858	852601249849544372	852601249849544371	1668	
4	C13H21N7O3S	[M + H]+	C13H22N7O3S+		0.000	23.637	23.307	0.330	13	0.906	-3.092	3.876	0.183		356.150	1048	17.463	852609741298227859	852601249849544372	852601249849544371	1668	
5	C18H18FN5O2	[M + H]+	C18H19FN5O2+		0.000	23.593	21.025	2.568	15	0.967	0.190	3.940	-4.856		356.150	1048	17.463	852609741298227860	852601249849544372	852601249849544371	1668	
6	C21H17N5O	[M + H]+	C21H18N5O+		0.000	23.372	19.883	3.489	11	0.894	3.901	3.901	-1.647		356.150	1048	17.463	852609741298227861	852601249849544372	852601249849544371	1668	
7	C17H24ClN2O4	[M + H]+	C17H25ClN2O4+		0.000	22.305	22.305	0.000	14	0.968	-3.876	3.876	0.740		356.150	1048	17.463	852609741298227862	852601249849544372	852601249849544371	1668	
