Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Horticulture Zone,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Of Conservation Concern,Barcode,Kind of Specimen,Voucher collection date,Verification,Deposited
423-2003*A,135-88,Caprifoliaceae,Diervilla,rivularis,,Diervilla rivularis,Accepted name,"Kruessmann, G. 1984. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. I. Portland, OR: Timber Press. 448 pp.",,,Mountain Bush-honeysuckle,Shrub,423-2003,6/19/2003,Cutting,Diervilla rivularis,Dierv. riv.,,,From a cultivated plant of known (indirect) wild origin,VO,,V,1987 Southeastern States Expedition,,,,,,"Nicholson, R.",J,10/9/1987,United States,"Georgia, Dade Co.",,Cloudland Canyon State Park. Near the parking lot at the Canyon Rim.,,,,,,"full sun, margin of Pine woods on clifface.",,,,,LG-2A,LG-2A,,42.30429996,-71.12384407,1.13,8/5/2024,Excellent,,8/5/2024,,,,,1.1,M,C,,,,1,"00227842, 00227458","HR, HW, HF, HF, HV",,,
425-91*C,1549-80,Caprifoliaceae,Heptacodium,miconioides,,Heptacodium miconioides,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,Heptacodium jasminoides,Seven Son Flower,Shrub,425-91,7/10/1991,Cutting,Heptacodium jasminoides,Hepta. micon.,,,From a cultivated plant not of known wild origin,VO,,V,"Dr. Stephen A. Spongberg, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Spongberg, S. A.",10,11/15/1980,China,"Zhejiang Province, Hangzhou",,Hangzhou Botanical Garden,,,,,,cultivated,,,,,EG-12,EG-12,,42.29920837,-71.12201632,2.11,8/27/2024,Good,,,17.6,M,largest stem,,,,,,,,1,,,,,
428-2003*A,131-88,Caprifoliaceae,Diervilla,rivularis,,Diervilla rivularis,Accepted name,"Kruessmann, G. 1984. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. I. Portland, OR: Timber Press. 448 pp.",,,Mountain Bush-honeysuckle,Shrub,428-2003,6/19/2003,Cutting,Diervilla rivularis,Dierv. riv.,,,From a cultivated plant of known (indirect) wild origin,VO,,V,1987 Southeastern States Expedition,,,,,,"Nicholson, R.",F,10/9/1987,United States,"Georgia, Dade Co.",,Cloudland Canyon State Park. Near the parking lot at the Canyon Rim.,,,,,,"full sun, margin of Pine woods on clifface.",,,,,LG-2A,LG-2A,,42.30435766,-71.1238659,1.13,8/5/2024,Excellent,,8/5/2024,,,,,1.1,M,C,,,,1,"00227641, 00227452","HF, HV, HW, HF, HV, HR",,,
451-2018*B,451-2018,Caprifoliaceae,Weigela,japonica,,Weigela japonica var. sinica,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Chinese Weigela,Shrub,451-2018,10/17/2018,Seed,Weigela japonica var. sinensis,Weig. jap. var. sinica,var.,sinica,Collected directly from the wild; origin known,,,,2018 NACPEC Expedition to Western H,,,,,,"Liang, Chengyuan; Wang, Kang; Gapinski, Andrew; Zhang, Daigui; Zale, Peter; Lobdell, Matthew",NACPEC18-116,9/22/2018,China,"Hubei, Xingshan, Zhaojun",,Longmenhe,31.3263,110.485333,1209,M,30° N,Steep moss-covered rock outcrop,Moss-covered rock outcrop,"Upright, irregularly spreading shrub; height 3 x 2m; D.B.H. 5cm; bark tan, with lenticels; leaves simple, to 10cm long and 5cm wide; fruit capsule axillary, green to 4cm long and 0.6cm wide",,"Acer davidii, Anemone hupehensis, Epimedium franchetii, Holboellia sp., Leontopodium sp., Lindera sp., Sauromatum giganteum",14-NW,14,NW,42.30272188,-71.12350308,2.9,10/6/2022,Alive,,6/10/2022,,,,,1.25,M,,,,,0,,,,,
1650-80*B,1650-80,Caprifoliaceae,Dipelta,floribunda,,Dipelta floribunda,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,Dipelta floribunda var. parviflora,Rosy Dipelta,Intermediate (shrub/tree),1650-80,12/15/1980,Seed,Dipelta floribunda,Dip. flor.,,,Collected directly from the wild; origin known,,,,1980 Sino-American Botanical Expedi,,,,,,1980 S.A.B.E.,1611,9/21/1980,China,W. Hubei Province,,"Shennongjia Forest District, vicinity of Houshanping on the south side of the Hou River",31.5,110.5,800-1050,M,,thicket on slope of valley,,Tree ca. 2m tall; fruit wings brown.,,,EG-11,EG-11,,42.29911335,-71.12222999,2.11,7/18/2017,Good,,7/18/2017,,,,,3,M,C,,,,0,"00158746, 00158745","HR, HR, HR",,,
1650-80*E,1650-80,Caprifoliaceae,Dipelta,floribunda,,Dipelta floribunda,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,Dipelta floribunda var. parviflora,Rosy Dipelta,Intermediate (shrub/tree),1650-80,12/15/1980,Seed,Dipelta floribunda,Dip. flor.,,,Collected directly from the wild; origin known,,,,1980 Sino-American Botanical Expedi,,,,,,1980 S.A.B.E.,1611,9/21/1980,China,W. Hubei Province,,"Shennongjia Forest District, vicinity of Houshanping on the south side of the Hou River",31.5,110.5,800-1050,M,,thicket on slope of valley,,Tree ca. 2m tall; fruit wings brown.,,,EG-11,EG-11,,42.29911997,-71.12219743,2.11,7/18/2017,Good,,7/18/2017,,,,,3,M,C,,,,0,00158743,HF,,"Ma, J., 31 Jul 1996, Dipelta floribunda, 2",
505-93*B,22631,Caprifoliaceae,Lonicera,amoena,,Lonicera x amoena,Accepted name,"Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",<i>Lonicera tatarica</i> x <i>L. korolkowii</i>,,Gotha Honeysuckle,Shrub,505-93,6/14/1993,Cutting,Lonicera x amoena,Lonic. x amoena,,,From a cultivated plant not of known wild origin,VO,,V,"R. &amp; J. Farquhar Co., Boston, MA, United States",,,,,,,,,,,,,,,,,,,,,,,27-NW,27,NW,42.30031327,-71.12064803,2.4,9/12/2017,Good,,9/12/2017,,,,,4,M,C,,,,0,"00158828, 00158829","HF, HF",,,
525-84*B,1232-53,Caprifoliaceae,Lonicera,morrowii,,Lonicera morrowii,Accepted name,"Iwatsuki, K., T. Yamazaki, D.E. Boufford &amp; H. Ohba 1995. Flora of Japan, Vol. IIIa. Angiospermae, Dicotyledoneae, Sympetalae(a). Kodansha Ltd. 482 pp.",,Lonicera insularis,Morrow Honeysuckle,Shrub,525-84,4/25/1984,Division,Lonicera morrowii,Lonic. morrowii,,,From a cultivated plant of known (indirect) wild origin,VO,X,V,"Botanic Gardens Koishikawa, Tokyo 112, Japan",,,,,,"Hara, H.",,,Japan,"Honshu, Musu. Province",,Mt. Iwaki,,,,,,,,,,,DGB-16,DGB-16,,42.30276737,-71.12402563,1.18.A,11/14/2024,Alive,,8/16/2024,,,,,1.7,M,C,,,,0,00184023,HF,,,
54-2017*A,54-2017,Caprifoliaceae,Kolkwitzia,amabilis,,Kolkwitzia amabilis,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Beauty Bush,Shrub,54-2017,2/23/2017,Seed,Kolkwitzia amabilis,Kolkw. amab.,,,Collected directly from the wild; origin known,,,,"USDA-ARS North Central Regional Pla, Ames, IA, United States via 1994 NACPEC Expedition to Hubei",PI 641692,,,,,"Meyer, Paul; Thomas, William; Conrad, Kevin; del Tredici, Peter",WD122,9/25/1994,China,Hubei Province,,Near Yan Chi He,32.360833,111.098055,,,,Cut over hillside; rich shrub and herbaceous layer,,"Shrub, arching branches, 2.5 meters tall; seed capsules brown.",,"Albizia kalkora, Castanea mollissima, Cotinus coggygria, Pistacia chinensis, Quercus variabilis, Rosa spp.",14-SW,14,SW,42.30232035,-71.1236868,2.1,6/7/2024,Good,,7/15/2020,,,,,0.8,M,,,,,1,,,,"Dosmann, M., 31 May 2024, Kolkwitzia amabilis, 2",
54-2017*B,54-2017,Caprifoliaceae,Kolkwitzia,amabilis,,Kolkwitzia amabilis,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Beauty Bush,Shrub,54-2017,2/23/2017,Seed,Kolkwitzia amabilis,Kolkw. amab.,,,Collected directly from the wild; origin known,,,,"USDA-ARS North Central Regional Pla, Ames, IA, United States via 1994 NACPEC Expedition to Hubei",PI 641692,,,,,"Meyer, Paul; Thomas, William; Conrad, Kevin; del Tredici, Peter",WD122,9/25/1994,China,Hubei Province,,Near Yan Chi He,32.360833,111.098055,,,,Cut over hillside; rich shrub and herbaceous layer,,"Shrub, arching branches, 2.5 meters tall; seed capsules brown.",,"Albizia kalkora, Castanea mollissima, Cotinus coggygria, Pistacia chinensis, Quercus variabilis, Rosa spp.",14-SW,14,SW,42.30233049,-71.12373066,2.1,6/7/2024,Good,,7/15/2020,,,,,0.7,M,,,,,1,,,,,
54-2017*F,54-2017,Caprifoliaceae,Kolkwitzia,amabilis,,Kolkwitzia amabilis,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Beauty Bush,Shrub,54-2017,2/23/2017,Seed,Kolkwitzia amabilis,Kolkw. amab.,,,Collected directly from the wild; origin known,,,,"USDA-ARS North Central Regional Pla, Ames, IA, United States via 1994 NACPEC Expedition to Hubei",PI 641692,,,,,"Meyer, Paul; Thomas, William; Conrad, Kevin; del Tredici, Peter",WD122,9/25/1994,China,Hubei Province,,Near Yan Chi He,32.360833,111.098055,,,,Cut over hillside; rich shrub and herbaceous layer,,"Shrub, arching branches, 2.5 meters tall; seed capsules brown.",,"Albizia kalkora, Castanea mollissima, Cotinus coggygria, Pistacia chinensis, Quercus variabilis, Rosa spp.",WH1-NE,WH1,NE,42.29597851,-71.13370759,7.1,5/20/2023,Good,B,6/14/2022,,,,,1.3,M,C,,,,1,,,,,
563-87*A,18169,Caprifoliaceae,Lonicera,ferdinandi,,Lonicera ferdinandi,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,"Lonicera ferdinandi var. leycesterioides, Lonicera ferdinandi var. induta",Ferdinand Honeysuckle,Shrub,563-87,6/23/1987,Cutting,Lonicera ferdinandi var. induta,Lonic. ferdinandi,,,From a cultivated plant of known (indirect) wild origin,VO,,V,"Mr. William Purdom, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Purdom, W.",554,,China,"Shaanxi Province [Shensi], Yenanfu",,,,,,,,,,,,,EG-11,EG-11,,42.29909129,-71.12208697,2.11,7/18/2017,Fair,,7/18/2017,,,,,2.2,M,,,,,0,00192872,HF,,,
201-2004*A,1076-87,Caprifoliaceae,Diervilla,sessilifolia,,Diervilla sessilifolia,Accepted name,"Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"Southern Bush-honeysuckle, Southern Bush Honeysuckle",Shrub,201-2004,6/22/2004,Cutting,Diervilla sessilifolia,Dierv. sess.,,,From a cultivated plant of known (indirect) wild origin,VO,,VA,1987 Southeastern States Expedition,,,,,,"Nicholson, R.",,,United States,"Georgia, Rabun Co.",,Rabun Bald Summit,,,1444,,Full sun,,Gritty loam soil,,,"Ilex montana, Quercus sp., Robinia hispida, Salix sp.",LG-2B,LG-2B,,42.30420969,-71.12381078,1.13,8/5/2024,Excellent,,8/5/2024,,,,,1.3,M,C,,,,1,"00227667, 00227422","HF, HW, HV, HR",,,
609-87*B,3771,Caprifoliaceae,Lonicera,tatarica,Sibirica,Lonicera tatarica 'Sibirica',Accepted name,"Kruessmann, G. 1985. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. II. Portland, OR: Timber Press. 445 pp.",,Lonicera tatarica forma sibirica,Cultivar of Tatarian Honeysuckle,Shrub,609-87,7/2/1987,Cutting,Lonicera tatarica f. sibirica,Lon. tat. 'Sibirica',,,Uncertain origin,VO,,V,"Ludwig Spaeth, Berlin, Germany",,,,,,,,,,,,,,,,,,,,,,,33-NW,33,NW,42.29930445,-71.12064116,2.5,1/5/2021,Fair,,10/10/2017,,,,,3.6,M,C,,,,0,,,,,
625-90*B,625-90,Caprifoliaceae,Weigela,florida,Rubidor,Weigela florida 'Rubidor',Accepted name,"Dirr, M.A. 1998. Manual of Woody Landscape Plants. (revised ed.).",,,Old Fashioned Weigela,Shrub,625-90,7/2/1990,Cutting,Weigela 'Rubidor',Weig. 'Rubidor',,,From a cultivated plant not of known wild origin,,,,"Heronswood Nursery, Kingston, WA, United States",,,,,,,,,,,,,,,,,,,,,,,33-NW,33,NW,42.29936897,-71.12064955,2.5,6/4/2020,Good,,10/10/2017,,,,,1.9,M,C,,,,0,,,,,
694-88*C,694-88,Caprifoliaceae,Lonicera,ruprechtiana,,Lonicera ruprechtiana,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Manchurian Honeysuckle,Shrub,694-88,7/13/1988,Seed,Lonicera ruprechtiana,Lonic. rupr.,,,Collected directly from the wild; origin known,,,,"Beijing Institute of Botany, Beijing",,,,1987,25,,,,China,,,#8,,,400,M,,,,,,,33-NE,33,NE,42.29929252,-71.12060674,2.5,10/10/2017,Good,,10/10/2017,,,,,2.2,M,C,,,,0,"00191314, 00191312","HR, HR",,,
695-86*C,15015,Caprifoliaceae,Lonicera,chrysantha,,Lonicera chrysantha forma regeliana,Accepted name,,,,,Shrub,695-86,9/30/1986,Division,Lonicera chrysantha f. regeliana,Lonic. chrys. f. regeliana,orma,regeliana,Uncertain origin,VO,,V,"Ludwig Spaeth, Berlin, Germany",,,,,,,,,,,,,,,,,,,,,,,33-NW,33,NW,42.29940034,-71.12062512,2.5,10/10/2017,Good,,10/10/2017,,,,,7,M,C,,,,0,00158973,HR,,,
695-88*B,695-88,Caprifoliaceae,Lonicera,ferdinandi,,Lonicera ferdinandi,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,"Lonicera ferdinandi var. leycesterioides, Lonicera ferdinandi var. induta",Ferdinand Honeysuckle,Shrub,695-88,7/13/1988,Seed,Lonicera ferdinandi,Lonic. ferdinandi,,,Collected directly from the wild; origin known,,,,"Beijing Institute of Botany, Beijing",,,,1987,26,,,,China,,,#3,,,1620,M,,,,,,,33-SW,33,SW,42.29914858,-71.12068786,2.5,6/4/2020,Good,,10/10/2017,,,,,2.6,M,C,,,,0,00152609,HF,,"Ma, J., 31 Jul 1996, Lonicera ferdinandi, 2",
1652-77*F,1652-77,Caprifoliaceae,Lonicera,subsessilis,,Lonicera subsessilis,Accepted name,"Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,,Shrub,1652-77,10/17/1977,Seed,Lonicera subsessilis,Lonic. subsess.,,,Collected directly from the wild; origin known,XX,X,SA,"1977 Expedition to Korea and Japan, Korea, Republic of",,,,,,"Spongberg, S.A.; Weaver, R.E.",445,10/8/1977,"Korea, Republic of",Gangwon-do [Kangwong-do],,between Undugol and Sogsa,,,,,,roadside scrub,,,,,7-SW,7,SW,42.30464729,-71.12304285,1.14,6/14/2023,Good,,6/14/2023,,,,,4,M,C,,,,0,,,,,
7190*B,7190,Caprifoliaceae,Lonicera,maackii,,Lonicera maackii,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Amur Honeysuckle,Shrub,7190,1/18/1908,Seed,"Lonicera sp., Lonicera macki erubescens, L. maackii f. podocarpa",Lonic. maackii,,,Collected directly from the wild; origin known,,,,"Dr. Ernest Henry Wilson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Wilson, E. H.",194 (IN PART),7/1/1908,China,"W. Hubei Province [W. Hupeh], Ichang",,north and south of Ichang,,,900-1500,M,,thickets,,,,,EG-11,EG-11,,42.2990688,-71.1221041,2.11,7/18/2017,Good,,7/18/2017,14.3,C,largest stem,,6,M,C,,,,0,"00152845, 00152847","HF, HR, HF, HF, HR, HF, HR",,"Green, P., 01 Jan 1965, Lonicera maackii var. podocarpa, 2; Ma, J., 31 Jul 1996, Lonicera maackii, 2",
202-2004*A,1078-87,Caprifoliaceae,Diervilla,sessilifolia,,Diervilla sessilifolia,Accepted name,"Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"Southern Bush-honeysuckle, Southern Bush Honeysuckle",Shrub,202-2004,6/22/2004,Cutting,Diervilla sessilifolia,Dierv. sess.,,,From a cultivated plant of known (indirect) wild origin,VO,,VA,1987 Southeastern States Expedition,,,,,,"Nicholson, R.",,,United States,"Georgia, Rabun Co.",,Rabun Bald Summit,,,1444,,Full sun,,Gritty loam soil,,,"Ilex montana, Quercus sp., Robinia hispida, Salix sp.",LG-2B,LG-2B,,42.30424938,-71.12382498,1.13,8/5/2024,Excellent,,8/5/2024,,,,,1.6,M,C,,,,1,"00227673, 00227845","HV, HR, HW, HF",,,
77-2022*E,77-2022,Caprifoliaceae,Heptacodium,miconioides,SMNHMRF,Heptacodium miconioides 'SMNHMRF',Accepted name,"2019. USPTO Patent Full-Text and Image Database. Heptacodium Miconioides Plant Named 'SMNHMRF' PP 30,763.",,,Temple of Bloom® Seven Son Flower,Tree,77-2022,4/7/2022,Plant,Heptacodium miconioides [Temple of Bloom] = 'SMNHMRF',Hepta. micon. 'SMNHMRF',,,From a cultivated plant not of known wild origin,XX,X,U,"Spring Meadow Nursery, Inc., Grand Haven, MI, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18.B,7/31/2024,Good,,7/11/2023,,,,,0.5,M,,,,,0,,,,,
806-84*A,15047,Caprifoliaceae,Lonicera,maackii,,Lonicera maackii,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Amur Honeysuckle,Shrub,806-84,6/21/1984,Cutting,Lonicera maackii,Lonic. maackii,,,Uncertain origin,VO,X,V,"Imperial Botanic Garden, St. Petersburg, Russian Federation",,,,,,,,,,,,,,,,,,,,,,,33-NW,33,NW,42.29918619,-71.12069572,2.5,9/10/2021,Excellent,,10/10/2017,11,C,,,4,M,C,,,,0,"00152824, 00152823","HR, HF",,,
81-90*A,81-90,Caprifoliaceae,Weigela,decora,,Weigela decora,Accepted name,"Iwatsuki, K., T. Yamazaki, D.E. Boufford &amp; H. Ohba 1995. Flora of Japan, Vol. IIIa. Angiospermae, Dicotyledoneae, Sympetalae(a). Kodansha Ltd. 482 pp.",,,Greenpink Weigela,Intermediate (shrub/tree),81-90,2/17/1990,Seedling,Weigela praecox,Weig. decora,,,Collected directly from the wild; origin known,,,,"U. S. National Arboretum, Washington, DC, United States",NA-56511,,,,,,,9/5/1985,"Korea, Republic of","Jeollanam-do [Cholla Namdo], Chindo Gun, Imhui Myon, Somang-ri",,,34.35,126.133333,0,M,,"at base of cliff at seaside, sun, very exposed site",,,"(as seed) multi-stemmed decid. shrub with arching branches to 2 m tall, forming thickets; bark purplish-gray, stems purplish; lvs. dark blue-green, thick, leathery. margins udnulate-serrate; frt. green, 25 mm long, 3.5 mm thick, long-beaked; very vigorous handsome plants undamaged by salt and wind",,14-NW,14,NW,42.30266234,-71.12326867,1.13,7/10/2024,Good,,12/15/1992,,,,,5,F,,,,,0,,,,,
81-90*B,81-90,Caprifoliaceae,Weigela,decora,,Weigela decora,Accepted name,"Iwatsuki, K., T. Yamazaki, D.E. Boufford &amp; H. Ohba 1995. Flora of Japan, Vol. IIIa. Angiospermae, Dicotyledoneae, Sympetalae(a). Kodansha Ltd. 482 pp.",,,Greenpink Weigela,Intermediate (shrub/tree),81-90,2/17/1990,Seedling,Weigela praecox,Weig. decora,,,Collected directly from the wild; origin known,,,,"U. S. National Arboretum, Washington, DC, United States",NA-56511,,,,,,,9/5/1985,"Korea, Republic of","Jeollanam-do [Cholla Namdo], Chindo Gun, Imhui Myon, Somang-ri",,,34.35,126.133333,0,M,,"at base of cliff at seaside, sun, very exposed site",,,"(as seed) multi-stemmed decid. shrub with arching branches to 2 m tall, forming thickets; bark purplish-gray, stems purplish; lvs. dark blue-green, thick, leathery. margins udnulate-serrate; frt. green, 25 mm long, 3.5 mm thick, long-beaked; very vigorous handsome plants undamaged by salt and wind",,14-NW,14,NW,42.30264525,-71.12324661,1.13,7/10/2024,Good,,12/15/1992,,,,,4.5,F,,,,,0,"00184024, 00174772","HF, HF",,"Ma, J., 31 Jul 1996, Weigela decora, 2",
816-84*A,6475,Caprifoliaceae,Kolkwitzia,amabilis,,Kolkwitzia amabilis,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Beauty Bush,Shrub,816-84,6/21/1984,Cutting,Kolkwitzia amabilis,Kolkw. amab.,,,From a cultivated plant of known (indirect) wild origin,VO,X,V,"J. Veitch &amp; Son, Chelsea, United Kingdom",,,,,,"Wilson, E. H.",1007,7/1/1901,China,Hubei Province [Hupeh],,"near Fang Xian, northwest of Ichang (Yichang)",,,,,,,,,,,EG-13,EG-13,,42.29897391,-71.12191756,2.11,6/13/2017,Good,,,,,,,,,,,,,1,"00158779, 00158778","HF, HF, HF",,"Dosmann, M., 31 May 2024, Kolkwitzia amabilis, 2",
843-84*C,7026,Caprifoliaceae,Weigela,praecox,Bouquet Rose,Weigela praecox 'Bouquet Rose',Accepted name,"Griffiths, M. 1995. Index of Garden Plants. The New Royal Horticultural Society Dictionary. Portland, Oregon: Timber Press. 1234 pp.",,,Cultivar of Early Weigela,Shrub,843-84,6/25/1984,Cutting,Weigela praecox 'Bouquet Rose',Weig. 'Bouquet Rose',,,From a cultivated plant not of known wild origin,VO,X,V,"Firma Hermann A. Hesse, Baumschulen, 2952 Weener-Ems, Germany",,,,,,,,,,,,,,,,,,,,,,,13-NE,13,NE,42.30255197,-71.12468986,2.9,8/16/2024,Good,,8/16/2024,,,,,2.3,M,C,,,,0,00184083,HF,,,
854-84*F,14496,Caprifoliaceae,Weigela,florida,,Weigela florida,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,Weigela rosea,Old Fashioned Weigela,Shrub,854-84,6/25/1984,Cutting,Weigela isoline,Weig. florida,,,Uncertain origin,VO,X,V,"Firma Hermann A. Hesse, Baumschulen, 2952 Weener-Ems, Germany",,,,,,,,,,,,,,,,,,,,,,,14-NW,14,NW,42.30256409,-71.12286463,1.12,9/4/2019,Good,,9/4/2019,,,,,1.8,M,,,,,0,,,,,
856-84*D,15142,Caprifoliaceae,Lonicera,xylosteum,,Lonicera xylosteum,Accepted name,"Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,,European Fly Honeysuckle,Shrub,856-84,6/25/1984,Cutting,Lonicera xylosteum,Lonic. xylosteum,,,From a cultivated plant of known (indirect) wild origin,VO,X,V,"Prof. Alfred Rehder, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Rehder, A.",,,Austria,,,Alps,,,,,,,,,,,57-SE,57,SE,42.29258305,-71.12901024,4.4,7/19/2021,Good,,7/19/2021,,,,,1.8,M,C,,,,1,,,,,
860-82*C,15118,Caprifoliaceae,Lonicera,standishii,,Lonicera standishii,Accepted name,"Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Standish Honeysuckle,Shrub,860-82,7/23/1982,Cutting,Lonicera standishii,Lonic. stand.,,,Uncertain origin,VO,X,V,"Mr. S. C. Moon, Morrisville, PA, United States",,,,,,,,,,,,,,,,,,,,,,,13-SW,13,SW,42.30211596,-71.12534581,2.9,8/16/2024,Good,,8/16/2024,,,,,2.4,M,C,,,,0,,,,,
88-68*A,88-68,Caprifoliaceae,Kolkwitzia,amabilis,Rosea,Kolkwitzia amabilis 'Rosea',Accepted name,"Kruessmann, G. 1985. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. II. Portland, OR: Timber Press. 445 pp.",,,Cultivar of Beauty Bush,Shrub,88-68,1/25/1968,Plant,Kolkwitzia amabilis 'Rosea',Kolkw. amab. 'Rosea',,,From a cultivated plant not of known wild origin,,,,"U. S. National Arboretum, Washington, DC, United States via D. Ruys Ltd., Royal Moerheim Nurser, Dedemsvaart, Netherlands",,,,,,,,,,,,,,,,,,,,,,,EG-11,EG-11,,42.29918376,-71.12216165,2.11,5/18/2023,Good,,7/18/2017,,,,,2.3,M,,,,,0,,,,,
