Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Horticulture Zone,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Of Conservation Concern,Barcode,Kind of Specimen,Voucher collection date,Verification,Deposited
185-2006*C,185-2006,Caprifoliaceae,Symphoricarpos,doorenbosii,Kordes,Symphoricarpos x doorenbosii 'Kordes',Accepted name,"2005. Spring Meadow Nursery, Inc. Flowering Shrubs. Starter Plants Catalog &amp; Shrub Reference 2005-2006.",,,Cultivar of Doorenbos Coralberry,Shrub,185-2006,4/22/2006,Plant,Symphoricarpos x doorenbosii [Amethyst] = 'Kordes',Symph. x dooren. 'Kordes',,,From a cultivated plant not of known wild origin,XX,X,U,"Spring Meadow Nursery, Inc., Grand Haven, MI, United States",,,,,,,,,,,,,,,,,,,,,,,LG-2H,LG-2H,,42.30422343,-71.12393694,1.13,8/5/2024,Good,,8/5/2024,,,,,1.7,M,C,,,,0,,,,,
1149-83*A,15011,Caprifoliaceae,Lonicera,chrysantha,,Lonicera chrysantha,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Coralline Honeysuckle,Shrub,1149-83,8/5/1983,Cutting,Lonicera chrysantha,Lonic. chrys.,,,From a cultivated plant of known (indirect) wild origin,VO,X,V,"Prof. Charles Sprague Sargent, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Sargent, C. S.",,,Russian Federation,"Siberia, Khabarovka",,,,,,,,,,,,,13-NE,13,NE,42.30247149,-71.12433666,2.9,8/16/2024,Good,,8/16/2024,,,,,4.5,M,C,,,,0,,,,,
1149-83*B,15011,Caprifoliaceae,Lonicera,chrysantha,,Lonicera chrysantha,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Coralline Honeysuckle,Shrub,1149-83,8/5/1983,Cutting,Lonicera chrysantha,Lonic. chrys.,,,From a cultivated plant of known (indirect) wild origin,VO,X,V,"Prof. Charles Sprague Sargent, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Sargent, C. S.",,,Russian Federation,"Siberia, Khabarovka",,,,,,,,,,,,,13-NE,13,NE,42.30247908,-71.12434849,2.9,8/16/2024,Fair,,8/16/2024,,,,,4.5,M,C,,,,0,,,,,
11822*A,11822,Caprifoliaceae,Lonicera,muscaviensis,,Lonicera x muscaviensis,Accepted name,"Griffiths, M. 1995. Index of Garden Plants. The New Royal Horticultural Society Dictionary. Portland, Oregon: Timber Press. 1234 pp.",<i>Lonicera morrowii</i> x <i>L. ruprechtiana</i>,,Muscavy Honeysuckle,Shrub,11822,4/17/1923,Plant,Lonicera muscaviensis,Lonic. x muscav.,,,Uncertain origin,,,,"R. &amp; J. Farquhar Co., Boston, MA, United States",,,,,,,,,,,,,,,,,,,,,,,21-NE,21,NE,42.3018669,-71.12037277,1.11,7/12/2018,Good,,7/12/2018,3.8,C,largest stem,,3.6,M,C,5.6,M,C,0,,,,"Howard, H., 01 Jan 1948, Lonicera x muscaviensis, 1; Green, P., 01 Jan 1965, Lonicera x muscaviensis, 2",
12319*A,12319,Caprifoliaceae,Lonicera,maackii,,Lonicera maackii,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Amur Honeysuckle,Shrub,12319,7/19/1920,Seed,"Lonicera maackii podocarpa, L. maackii f. podocarpa",Lonic. maackii,,,Collected directly from the wild; origin known,,,,,1358,,,,,"Hers, J.",1358,,China,,,,,,,,,,,,,,10-NE,10,NE,42.30385933,-71.12275258,1.16,9/11/2019,Excellent,,9/11/2019,,,,,3.8,M,C,7.62,M,,0,"00152894, 00152895","HF, HF",,"Green, P., 01 Jan 1965, Lonicera maackii var. podocarpa, 2; Ma, J., 31 Jul 1996, Lonicera maackii, 2",
125-2003*B,125-2003,Caprifoliaceae,Weigela,florida,,Weigela florida,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,Weigela rosea,Old Fashioned Weigela,Shrub,125-2003,2/14/2003,Plant,Weigela florida,Weig. florida,,,Collected directly from the wild; origin known,XX,,,"1997 NACPEC Expedition to Changbai  via U. S. National Arboretum, Washington, DC, United States",68848,,,,,"Bachtell, K. et al.",NACPEC97089,10/1/1997,China,"Jilin Province, Changbai County",,,41.553611,127.290833,800,M,60 N,"Steep rocky cliff with Alnus mandshurica, Acer tegmentosum, Populus davidiana, Prunus maacki, Acer ukurunduense.",,Height to 1.5m.,,"Acer tegmentosum, Acer ukurunduense, Alnus mandshurica, Prunus maackii",LG-7C,LG-7C,,42.30400341,-71.12378667,1.13,8/12/2024,Excellent,,8/12/2024,,,,,2.1,M,C,,,,0,,,,,
1310-84*B,803-35,Caprifoliaceae,Lonicera,alpigena,,Lonicera alpigena forma nana,Accepted name,"Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Dwarf Alps Honeysuckle,Shrub,1310-84,11/8/1984,Division,Lonicera alpigena f. nana,Lonic. alp. f. nana,orma,nana,Uncertain origin,VO,X,V,"Botanic Garden, Sarajevo, Yugoslavia",,,,,,,,,,,,,,,,,,,,,,,31-NE,31,NE,42.29941618,-71.12452929,2.8,4/7/2025,Good,,10/17/2017,,,,,1.9,M,C,,,,0,,,,,
1312-84*B,898-49,Caprifoliaceae,Lonicera,salicifolia,,Lonicera x salicifolia,Accepted name,"Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Willowleaf Honeysuckle,Shrub,1312-84,11/8/1984,Division,Lonicera x salicifolia,Lonic. x salic.,,,Uncertain origin,VO,X,V,"Park Department, Rochester, NY, United States",,,,,,,,,,,,,,,,,,,,,,,14-NW,14,NW,42.30262672,-71.12380046,2.9,10/5/2017,Fair,,10/5/2017,,,,,2.1,M,C,,,,0,00161165,HF,,,
1317-84*A,14502,Caprifoliaceae,Weigela,japonica,,Weigela japonica var. sinica,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Chinese Weigela,Shrub,1317-84,11/8/1984,Division,Weigela japonica var. sinica,Weig. jap. var. sinica,var.,sinica,From a cultivated plant of known (indirect) wild origin,VO,X,V,"Dr. Ernest Henry Wilson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Wilson, E. H.",762,7/1/1908,China,W. Hupeh,,Ichang,,,,,,,,,,,13-SE,13,SE,42.3024309,-71.1246071,2.9,10/12/2017,Good,,10/12/2017,,,,,3.4,M,C,,,,0,,,,,
1329-84*B,18902,Caprifoliaceae,Lonicera,morrowii,,Lonicera morrowii var. xanthocarpa,Accepted name,"Teuscher, H. 1932. Lonicera morrowii xanthocarpa. Addisonia 17(3):37, 38, pl. 563.",,,Yellowfruit Morrow Honeysuckle,Shrub,1329-84,11/12/1984,Division,Lonicera morrowii var. xanthocarpa,Lonic. morr. var. xantho.,var.,xanthocarpa,Uncertain origin,VO,X,V,"Mount Arbor Nurseries, Shenandoah, IA, United States",,,,,,,,,,,,,,,,,,,,,,,13-SE,13,SE,42.30221318,-71.1248238,2.9,10/12/2017,Good,,10/12/2017,,,,,2.6,M,C,,,,0,00152965,HF,,,
