"Plant.ID","Family","Genus","Species","Cultivar","Sub","Garden.Location","lat","lon","Condition","AA","US","World","Notes"
"283-2018*A","Adoxaceae","Viburnum","rufidulum","","","47-SW",42.29534893,-71.12306651,"Alive",15,"Southeast",NA,""
"283-2018*D","Adoxaceae","Viburnum","rufidulum","","","47-SW",42.29536302,-71.12302771,"Alive",15,"Southeast",NA,""
"287-2002*A","Adoxaceae","Viburnum","opulus","","calvescens","13-SE",42.30219587,-71.12488419,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"291-2019*A","Adoxaceae","Viburnum","dentatum","","deamii","47-SE",42.29551817,-71.12285747,"Alive",32,"East","No",""
"291-2019*C","Adoxaceae","Viburnum","dentatum","","deamii","47-SW",42.29552239,-71.12289793,"Alive",32,"East","No",""
"293-2003*C","Adoxaceae","Viburnum","farreri","Nanum","","LG-2E",42.30431625,-71.12393384,"Good",2,"No","Asia",""
"291-2019*B","Adoxaceae","Viburnum","dentatum","","deamii","47-SE",42.29549597,-71.12286399,"Alive",32,"East","No",""
"291-2019*E","Adoxaceae","Viburnum","dentatum","","deamii","47-SE",42.29549039,-71.12279702,"Alive",32,"East","No",""
"291-2019*F","Adoxaceae","Viburnum","dentatum","","deamii","47-SE",42.2954754,-71.122771,"Alive",32,"East","No",""
"291-2019*G","Adoxaceae","Viburnum","dentatum","","deamii","47-SE",42.29546015,-71.1227242,"Alive",32,"East","No",""
"283-2018*C","Adoxaceae","Viburnum","rufidulum","","","47-SW",42.29537884,-71.12304634,"Alive",15,"Southeast",NA,""
"283-2018*E","Adoxaceae","Viburnum","rufidulum","","","47-SW",42.29537276,-71.12301156,"Alive",15,"Southeast",NA,""
"291-2019*D","Adoxaceae","Viburnum","dentatum","","deamii","47-SE",42.29549599,-71.12282103,"Alive",32,"East","No",""
"305-2002*A","Adoxaceae","Viburnum","setigerum","","","13-SE",42.3020915,-71.12485523,"Good",10,"No","Asia",""
"306-90*C","Adoxaceae","Viburnum","lentago","","","13-SW",42.30209218,-71.12571641,"Good",5,"East",NA,""
"306-90*A","Adoxaceae","Viburnum","lentago","","","13-SW",42.30204973,-71.12572829,"Good",5,"East",NA,""
"306-90*B","Adoxaceae","Viburnum","lentago","","","13-SW",42.30206596,-71.12574603,"Good",5,"East",NA,""
"301-86*A","Adoxaceae","Viburnum","lentago","","","13-NE",42.30256013,-71.12466763,"Good",5,"East",NA,""
"312-2018*B","Adoxaceae","Viburnum","wrightii","","","LG-8K",42.30350569,-71.12376176,"Good",3,"No","Asia",""
"1715-81*A","Adoxaceae","Viburnum","lentago","","","13-SE",42.3024341,-71.12429721,"Good",5,"East",NA,""
"340-2014*B","Adoxaceae","Viburnum","rufidulum","","","13-SW",42.30242167,-71.1253058,"Excellent",15,"Southeast",NA,""
"340-2014*A","Adoxaceae","Viburnum","rufidulum","","","13-SW",42.30241561,-71.12526975,"Excellent",15,"Southeast",NA,""
"340-2014*C","Adoxaceae","Viburnum","rufidulum","","","13-SW",42.30245228,-71.12530013,"Excellent",15,"Southeast",NA,""
"340-2014*D","Adoxaceae","Viburnum","rufidulum","","","WH1-SW",42.2954592,-71.13439339,"Good",15,"Southeast",NA,""
"352-78*C","Adoxaceae","Viburnum","opulus","","","DGB-16",42.30275259,-71.12411882,"Alive",19,"East","Holarctic","Unclear taxonomy with trilobum"
"340-2014*E","Adoxaceae","Viburnum","rufidulum","","","WH1-SW",42.29572398,-71.13406939,"Good",15,"Southeast",NA,""
"361-2006*A","Adoxaceae","Viburnum","opulus","","trilobum","19-NW",42.30180631,-71.12511584,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"361-2006*C","Adoxaceae","Viburnum","opulus","","trilobum","LG-2I",42.30429852,-71.12402437,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"362-95*A","Adoxaceae","Viburnum","hupehense","","septentrionale","13-SW",42.30241607,-71.1250899,"Good",12,"No","Asia",""
"362-95*D","Adoxaceae","Viburnum","hupehense","","septentrionale","13-SW",42.30239677,-71.12506044,"Good",12,"No","Asia",""
"360-95*C","Adoxaceae","Viburnum","dentatum","","","19-NE",42.30136415,-71.12502132,"Alive",32,"East","No",""
"352-78*E","Adoxaceae","Viburnum","opulus","","","DGB-16",42.30274737,-71.124157,"Fair",19,"East","Holarctic","Unclear taxonomy with trilobum"
"365-84*A","Adoxaceae","Viburnum","rafinesquianum","","","13-NE",42.30261753,-71.12470336,"Fair",9,"East",NA,""
"375-97*C","Adoxaceae","Viburnum","burejaeticum","","","EG-14",42.29923304,-71.12169745,"Fair",2,"No","Asia",""
"364-84*D","Adoxaceae","Viburnum","acerifolium","","","44-SE",42.29587956,-71.12885801,"Fair",5,"East",NA,""
